Name,Type,Description,SP
C Duel Infantry 3,A,"Grants HP+5. If unit is 5★ and level 40 and unit's stats total less than 170, treats unit's stats as 170 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
Dazzling Discord,B,"At start of turn, for the closest foes within 5 spaces of unit and foes within 2 spaces of those foes, if any foe's Res < unit's Res, inflicts 【Discord】on that foe. Inflicts Atk/Res-4 on foe during combat and foe cannot counterattack.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300
Divine Deceit,C,"At start of player phase or enemy phase, if any foes in cardinal directions of unit have Res < unit's Res+5, inflicts【Gravity】on those foes. At start of player phase or enemy phase, if any foes within 3 rows or 3 columns centered on unit have Res < unit's Res+5, inflicts【Ploy】and【Exposure】on those foes through their next actions. After start-of-turn effects trigger on player phase or enemy phase, if any foes within 3 rows or 3 columns have ≥ 3 Bonus effects active, excluding stat bonuses, neutralizes those effects (excludes Bonus effects being applied at the same time). If foe has any Penalty effects active, grants Atk/Res+5 to unit during combat.【Gravity】Restricts target's movement to 1 space through its next action.【Ploy】Neutralizes Bonus Doubler, Treachery, and【Grand Strategy】effects active on unit during combat through unit's next action.【Exposure】Foe's attacks deal +10 damage.【Grand Strategy】Grants bonus to Atk/Spd/Def/Res during combat = current penalty on each of unit's stats × 2 for 1 turn. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+7.) Calculates each stat bonus independently.Unit's negative effects that last ""through unit's next action"" will remain in effect until this status (Grand Strategy) is neutralized.",300
A/S Bulwark 4,B,"Foes with Range = 1 cannot move through spaces adjacent to unit, and foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills). Inflicts Atk/Spd-4 on foe and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). Restores 7 HP to unit after combat.",300
Alarm Def/Res,C,"At start of turn, if number of allies adjacent to unit ≤ 2, grants Def/Res+6 and【Canto (１)】 to unit for 1 turn. If number of allies adjacent to unit ≤ 1, grants Def/Res+3 to unit during combat.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300
Spd/Def Detect,B,"Inflicts Spd/Def-4 on foe during combat.If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, inflicts【Exposure】on closest foes within 5 spaces of both unit and target ally or unit and targeting ally after movement and foes within 2 spaces of those foes through their next actions.Inflicts Spd/Def-5 on foes on the map with the 【Exposure】effect active and neutralizes bonuses to Spd/Def for those foes during combat.【Exposure】Foe's attacks deal +10 damage.",300
AR-O Atk/Def 1,A,"If attacking in Aether Raids, grants Atk/Def+X during combat. (Calculates X based on number of foe's defensive structures: ≤2 structures grants +4; 3 grants +3; 4 grants +2; ≥5 grants +1. Destroyed defensive structures are not counted.)",60
AR-O Atk/Def 2,A,"If attacking in Aether Raids, grants Atk/Def+X during combat. (Calculates X based on number of foe's defensive structures: ≤2 structures grants +7; 3 grants +5; 4 grants +3; ≥5 grants +1. Destroyed defensive structures are not counted.)",120
AR-O Atk/Def 3,A,"If attacking in Aether Raids, grants Atk/Def+X during combat. (Calculates X based on number of foe's defensive structures: ≤2 structures grants +10; 3 grants +7; 4 grants +4; ≥5 grants +1. Destroyed defensive structures are not counted.)",240
Spd/Res Scowl 1,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Spd/Res+2 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+15 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",60
Spd/Res Scowl 2,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Spd/Res+4 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+12 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",120
Spd/Res Scowl 3,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Spd/Res+6 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+9 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",240
Spd/Res Scowl 4,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Spd/Res+7 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",300
Corrupted Dragon,C,"After unit acts (if Canto triggers, after Canto), applies【Divine Vein (Stone)】to spaces within 5 rows and 5 columns centered on unit for 1 turn.Grants Atk/Spd/Def/Res+4 to allies within 5 rows and 5 columns centered on unit and neutralizes effects that inflict ""Special cooldown charge -X"" on those allies during combat.If there is an ally within 5 rows and 5 columns centered on unit, grants Atk/Spd/Def/Res+4 to unit and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, when unit's Special triggers, neutralizes foe's ""reduces damage by X%"" effects from foe's non-Special skills (excluding when dealing damage with an area-of-effect Special).【Divine Vein (Stone)】Applies the following effects on space for unit and allies: Grants Def/Res+6 during combat, reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials), and reduces damage from area-of-effect Specials by 50% (excluding Røkkr area-of-effect Specials). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain.)",300
Atk/Spd Scowl 1,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd+2 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+15 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",60
Atk/Spd Scowl 2,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd+4 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+12 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",120
Atk/Spd Scowl 3,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd+6 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+9 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",240
Atk/Spd Scowl 4,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Spd+7 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+5 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",300
Atk/Spd Ruse 4,B,"Inflicts Atk/Spd-4 on foe during combat. If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Spd-6,【Guard】, 【Discord】, and【Schism】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.【Schism】Neutralizes Triangle Attack, Dual Strike, and Pathfinder effects active on unit through unit's next action. Unit is excluded from ally Triangle Attack and Dual Strike effects calculated using numbers of allies. When this status (Schism) is neutralized, Triangle Attack, Dual Strike, and Pathfinder effects are also neutralized.",300
Dragon Monarch,C,"After unit acts (if Canto triggers, after Canto), applies【Divine Vein (Stone)】to spaces within 5 rows and 5 columns centered on unit for 1 turn. Grants Atk/Spd/Def/Res+4 to allies within 5 rows and 5 columns centered on unit and neutralizes effects that inflict ""Special cooldown charge -X"" on those allies during combat. If there is an ally within 5 rows and 5 columns centered on unit, grants Atk/Spd/Def/Res+4 to unit, reduces damage from attacks by 30% (excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.【Divine Vein (Stone)】Applies the following effects on space for unit and allies: Grants Def/Res+6 during combat, reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials), and reduces damage from area-of-effect Specials by 50% (excluding Røkkr area-of-effect Specials). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain.)",300
Seal Spd/Res 1,B,Inflicts Spd/Res-3 on foe through its next action after combat.,100
Seal Spd/Res 2,B,Inflicts Spd/Res-5 on foe through its next action after combat.,200
Verdict of Sacae,A,"If unit is within 4 spaces of an ally, grants bonus to unit's Atk/Spd/Def/Res during combat = X × 4, + 4 (X = number of allies within 4 spaces; maximum bonus of +12), and also, if unit's Special is ready or unit's Special triggered before or during combat, unit deals +5 damage (excluding area-of-effect Specials), and when unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)",300
Sacae's Blessing,B,"If foe uses sword, lance, or axe, foe cannot counterattack.(Skill cannot be inherited.)",300
Laws of Sacae,A,"If foe initiates combat and the number of allies within 2 spaces ≥ 2, grants Atk/Spd/Def/Res+4 during combat.",300
Laws of Sacae II,A,"If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+6 during combat, and also, if foe uses sword, lance, axe, dragonstone, or beast damage and unit's Spd ≥ foe's Spd+5, foe cannot counterattack.",300
Chill Atk/Def 1,B,"At start of turn, inflicts Atk/Def-3 on foe on the enemy team with the highest Atk+Def total through its next action.",120
Chill Atk/Def 2,B,"At start of turn, inflicts Atk/Def-5 on foe on the enemy team with the highest Atk+Def total through its next action.",240
Gray Illusion,A,"If unit initiates combat or foe's HP ≥ 75% at start of combat, grants Atk/Def/Res+9 to unit during combat, and if unit's Res > foe's Res, foe cannot counterattack. If unit initiates combat, after combat, inflicts the following status on foes with the highest Spd within 3 spaces of target foe (excluding target) through their next actions: ""after start-of-turn skills trigger, action ends immediately"" (for foes who have not yet taken an action in Summoner Duels, instead of inflicting this effect, ends their action immediately).",300
Incite Atk/Res,C,"At start of turn, if number of allies adjacent to unit ≤ 2, grants Atk/Res+6 and【Incited】 to unit for 1 turn. If number of allies adjacent to unit ≤ 1, grants Atk/Res+3 to unit during combat.【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).",300
Def/Res Gap 1,C,"At start of turn, grants Def/Res+1 to ally with the highest Def+Res total for 1 turn. (Excludes unit.)",60
Def/Res Gap 2,C,"At start of turn, grants Def/Res+3 to ally with the highest Def+Res total for 1 turn. (Excludes unit.)",120
Def/Res Gap 3,C,"At start of turn, grants Def/Res+5 to ally with the highest Def+Res total for 1 turn. (Excludes unit.)",240
Mastermind,A,"At start of turn, deals 1 damage to unit. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+9 to unit during combat and deals damage = X + Y (X = 80% of highest total bonuses among unit and allies within 2 spaces of unit; Y = 80% of highest total penalties among target and foes within 2 spaces of target; excluding area-of-effect Specials).",300
Desperation 4,B,"Inflicts Spd-4 on foe during combat. At start of combat, if unit's HP ≤ 99% and unit initiates combat, or number of spaces from unit's start position to end position ≥ 2 and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",300
A/S Spiked Wall,B,"Foes with Range = 1 cannot move through spaces adjacent to unit (does not affect foes with Pass skills).Foes with Range = 2 cannot move through spaces within 2 spaces of unit (does not affect foes with Pass skills).Inflicts Atk/Spd-4 on foe, deals damage = 15% of unit's Spd (excluding area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",300
Shield Session 1,A,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 3 - number of foes who have already acted (min value of 1).",60
Shield Session 2,A,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 6 - number of foes who have already acted × 2 (min value of 2).",120
Shield Session 3,A,"If foe initiates combat, grants bonus to unit's Def/Res during combat = 9 - number of foes who have already acted × 3 (min value of 3).",240
Spd/Def Gap 1,C,"At start of turn, grants Spd/Def+1 to ally with the highest Spd+Def total for 1 turn. (Excludes unit.)",60
Spd/Def Gap 2,C,"At start of turn, grants Spd/Def+3 to ally with the highest Spd+Def total for 1 turn. (Excludes unit.)",120
Spd/Def Gap 3,C,"At start of turn, grants Spd/Def+5 to ally with the highest Spd+Def total for 1 turn. (Excludes unit.)",240
Flashing Blade 4,A,"If unit's Spd > foe's Spd, grants Special cooldown charge +1 and deals +5 damage per unit's attack.(Only highest value applied. Does not stack.)",300
Atk/Spd Unity,A,"If unit is within 2 spaces of an ally, grants Atk/Spd+5 to unit during combat, and also, if unit is inflicted with any Atk/Spd penalty, grants bonus to unit's Atk/Spd during combat = current penalty on each of those stats × 2. (Example: if unit has -7 penalty to Atk, grants Atk+14, for a net bonus of Atk+12.) Calculates each stat bonus independently.",300
Flow Flight 1,B,"If unit initiates combat and unit's HP = 100% at start of combat, neutralizes effects that prevent unit's follow-up attacks during combat, and also, if unit's Spd ≥ foe's Spd-10, deals damage during combat = 30% of difference between Def stats (unit's Def minus foe's Def) and reduces damage from foe's attacks by 30% of that difference. (Excluding area-of-effect Specials. Min: 0, max: 3.)",60
Flow Flight 2,B,"If unit initiates combat and unit's HP ≥ 50% at start of combat, neutralizes effects that prevent unit's follow-up attacks during combat, and also, if unit's Spd ≥ foe's Spd-10, deals damage during combat = 50% of difference between Def stats (unit's Def minus foe's Def) and reduces damage from foe's attacks by 50% of that difference. (Excluding area-of-effect Specials. Min: 0, max: 5.)",120
Flow Flight 3,B,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat, and also, if unit's Spd ≥ foe's Spd-10, deals damage during combat = 70% of difference between Def stats (unit's Def minus foe's Def) and reduces damage from foe's attacks by 70% of that difference. (Excluding area-of-effect Specials. Min: 0, max: 7.)",240
B Duel Infantry 4,A,"Grants HP+5, Atk/Spd/Def/Res+2. If unit is 5★, level 40, a Legendary Hero or a Mythic Hero, and unit's stats total less than 175, treats unit's stats as 175 in modes like Arena. If unit is 5★, level 40, not a Legendary Hero or Mythic Hero, and unit's stats total less than 180, treats unit's stats as 180 in modes like Arena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)",300
Staff Valor 1,C,"While unit lives and uses a staff, unit gets 1.5x SP after combat or after using a healing Assist skill.(Only highest value applied. Does not stack.)",30
Staff Valor 2,C,"While unit lives, all staff allies on team get 1.5x SP after combat or after using healing Assist skills.(Only highest value applied. Does not stack.)",60
Staff Valor 3,C,"While unit lives, all staff allies on team get 2x SP after combat or after using healing Assist skills.(Only highest value applied. Does not stack.)",120
HP/Def 1,A,"Grants HP+3, Def+1.",100
HP/Def 2,A,"Grants HP+4, Def+2.",200
Binding Shield,B,"In combat against a dragon foe, unit makes a guaranteed follow-up attack and foe cannot counterattack or make a follow-up attack.",300
Binding Shield II,B,"If unit's Spd ≥ foe's Spd+5 or if unit is in combat against a dragon foe, unit makes a guaranteed follow-up attack and foe cannot counterattack or make a follow-up attack.",300
Shield of Hope,B,"Inflicts Atk/Spd/Def-5 on foe, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and grants effects based on the total value of bonuses on the 3 allies with the highest bonus totals during combat (excluding unit):If value ≥ 20, if decreasing the Spd difference necessary to make a follow-up attack by 10 would allow unit to trigger a follow-up attack (excluding guaranteed or prevented follow-ups), triggers【Potent Follow 100%】; if value ≥ 40, if foe initiates combat, unit can counterattack before foe's first attack; and if value ≥ 60, neutralizes effects that prevent unit's counterattacks, and also, if it is first combat initiated by foe that turn, unit can make a follow-up attack before foe's next attack.【Potent Follow 100%】Triggers an additional follow-up attack immediately after unit's standard follow-up attack and deals damage = 100% of unit's normal attack damage (if unit cannot make a follow-up attack, this effect triggers when the standard follow-up attack would occur; this effect is treated like a follow-up attack, so effects like ""reduce damage by X%"" still apply, but this effect is not affected by effects that prevent follow-ups or ""attacks twice"" effects; only highest value applied; does not stack).",300
S/D Hold Guide,C,Allies within 2 spaces of unit can move to any space within 2 spaces of unit.Unit can move to a space within 2 spaces of any ally within 2 spaces.Inflicts Spd/Def-4 on foes within 3 spaces of unit during combat.,300
Potent 4,B,"Inflicts Spd/Def-4 on foe during combat and reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by 30%. If decreasing the Spd difference necessary to make a follow-up attack by 25 would allow unit to trigger a follow-up attack (excluding guaranteed or prevented follow-ups), triggers【Potent Follow X%】during combat (if unit cannot perform follow-up and attack twice, X = 80; otherwise, X = 40).【Potent Follow X%】Triggers an additional follow-up attack immediately after unit's standard follow-up attack and deals damage = X% of unit's normal attack damage (if unit cannot make a follow-up attack, this effect triggers when the standard follow-up attack would occur; this effect is treated like a follow-up attack, so effects like ""reduce damage by X%"" still apply, but this effect is not affected by effects that prevent follow-ups or ""attacks twice"" effects; only highest value applied; does not stack).",300
Distant Pressure,A,"Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 25%, grants Spd+5 during combat, but after combat, if unit attacked, deals 5 damage to unit.",300
Daring Fighter 1,B,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat. If unit's HP ≤ 40% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",60
Daring Fighter 2,B,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat. If unit's HP ≤ 60% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",120
Daring Fighter 3,B,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat. If unit's HP ≤ 80% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",240
Def/Res Ideal 4,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+7 to unit during combat. At start of combat, if unit's HP = 100%, and【Bonus】is active on unit,  grants an additional Def/Res+2 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Assured Rebirth,B,"If unit's Res > foe's Res, unit makes a guaranteed follow-up attack. Reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = number of staff or dragon allies within 3 spaces of unit × 20, and also, if unit's Res > foe's Res, difference between stats × 4 (max 40%; total max 60%).",300
Def/Res Scowl 1,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Def/Res+2 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+15 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",60
Def/Res Scowl 2,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Def/Res+4 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+12 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",120
Def/Res Scowl 3,A,"If foe initiates combat or foe's HP ≥ 75% at start of combat, grants Def/Res+6 to unit during combat, and also, if foe's attack can trigger foe's Special and unit's Res ≥ foe's Res+9 during combat, inflicts Special cooldown count+1 on foe before foe's first attack. (Cannot exceed the foe's maximum Special cooldown.)",240
AR-D Spd/Res 1,A,"If defending in Aether Raids, grants Spd/Res+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +4; 4 grants +3; 3 grants +2; ≤2 grants +1. Destroyed defensive structures are not counted.)",60
AR-D Spd/Res 2,A,"If defending in Aether Raids, grants Spd/Res+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +7; 4 grants +5; 3 grants +3; ≤2 grants +1. Destroyed defensive structures are not counted.)",120
AR-D Spd/Res 3,A,"If defending in Aether Raids, grants Spd/Res+X during combat. (Calculates X based on number of your defensive structures: ≥5 structures grants +10; 4 grants +7; 3 grants +4; ≤2 grants +1. Destroyed defensive structures are not counted.)",240
Seal Spd/Res 3,B,"Inflicts Spd/Res-3 on foe and additional penalty to foe's Spd/Res = 6 - current penalty on each of those stats during combat (min 0; calculates each stat penalty independently; still inflicts penalty on foe even if foe triggers an effect that neutralizes penalties during combat). If penalty is active on foe's Spd or Res, inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack). After combat, inflicts Spd/Res-6 on foe through its next action.",300
Incite Atk/Spd,C,"At start of turn, if number of allies adjacent to unit ≤ 2, grants Atk/Spd+6 and【Incited】 to unit for 1 turn. If number of allies adjacent to unit ≤ 1, grants Atk/Spd+3 to unit during combat.【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).",300
Spd/Def Link 4,B,"If a movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by unit or targets unit, grants Spd/Def+6 and【Canto (１)】to unit and target ally or unit and targeting ally for 1 turn. Inflicts Atk/Spd-4 on foe and unit deals +X damage during combat (X = highest total Spd+Def bonuses among unit and allies with【Canto (１)】active; excluding area-of-effect Specials).【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300
Spd/Def Prime 1,A,"If【Bonus】is active on unit, grants Spd/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 1; max 3).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60
Spd/Def Prime 2,A,"If【Bonus】is active on unit, grants Spd/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 1; max 5).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120
Spd/Def Prime 3,A,"If【Bonus】is active on unit, grants Spd/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 3; max 7).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240
Spd/Def Prime 4,A,"If【Bonus】is active on unit, grants Spd/Def+X to unit during combat (X = number of【Bonus】effects active on unit, excluding stat bonuses, × 2, + 3; max 9), and also, if number of【Bonus】effects active on unit (excluding stat bonuses) ≥ 4, unit can counterattack regardless of foe's range during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Pegasus Rift,B,"Inflicts Atk/Spd-4 on foe during combat. If unit's Spd + Res ≥ foe's Spd + Res - 10 (excluding effects from【Phantom】), unit deals +X damage (excluding when dealing damage with an area-of-effect Special) and reduces damage from foe's first attack by X during combat (X = unit's Res at start of combat - 30; min 0, max 10; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), unit makes a guaranteed follow-up attack, foe cannot make a follow-up attack, and increases the Spd difference necessary for foe to make a follow-up attack by 20 during combat (Spd must be ≥ 25 to make a follow-up attack; stacks with similar skills).【Phantom】If a skill effect compares unit's stats to foe or ally stats, treats unit's stats as if granted +X.",300
Yune's Protection,B,"At start of turn, if any foes have the highest Atk, Spd, Def, or Res on the enemy team, inflicts【Exposure】and【Discord】on those foes and inflicts -7 on the corresponding stat of those foes and foes within 2 spaces of those foes through their next actions.If unit initiates combat or is within 2 spaces of an ally, inflicts Atk/Res-5 on foe, inflicts penalty on foe's Atk/Res = highest penalty on each stat between target and foes within 2 spaces of target, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).【Exposure】Foe's attacks deal +10 damage.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300
Atk/Res Crux,C,"Inflicts Atk/Res-4 on foes within 3 rows or 3 columns centered on unit, and those foes suffer guaranteed follow-up attacks during combat.",300
Far Trace Echo,X,"Enables【Canto (Rem.; Min １)】.Unit deals +3 damage during combat (including when dealing damage with a Special triggered before combat).【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",—
Atk/Res Bond 4,A,"If unit is adjacent to an ally, grants Atk/Res+7 to unit and neutralizes unit's penalties to Atk/Res during combat.",300
Yune's Whispers,B,"At start of turn, if any foe's Res ≤ unit's Res-3 and that foe is adjacent to another foe, inflicts Atk/Spd-6 on that foe through its next action.",300
Prescience,B,"Inflicts Atk/Res-5 on foe during combat. If unit initiates combat or if foe's Range = 2, reduces damage from foe's first attack by 30%.",300
Prescience II,B,"At start of turn, if any foes have the highest Atk, Spd, Def, or Res on the enemy team, inflicts【Sabotage】and【Panic】on those foes and inflicts -7 on the corresponding stat of those foes and foes within 2 spaces of those foes through their next actions.Inflicts Atk/Spd/Res-5 on foe, inflicts penalty on foe's Spd/Res = highest total penalties among target and foes within 2 spaces of target, reduces damage from foe's attacks by 30% (excluding area-of-effect Specials), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Panic】Converts bonuses on target into penalties through its next action.",300
Fireflood Dance 1,B,"If Sing or Dance is used, grants Atk+2 and Res+3 to target.",120
Fireflood Dance 2,B,"If Sing or Dance is used, grants Atk+3 and Res+4 to target.",240
Iote's Shield,A,"Neutralizes ""effective against flying"" bonuses.",200
Sly Swift Sparrow,A,"If unit initiates combat, grants Atk/Spd+8 to unit and unit makes a guaranteed follow-up attack during combat, and also, if number of 【Bonus】effects active on unit ≥ 2, excluding stat bonuses, or if number of 【Penalty】effects active on foe ≥ 2, excluding stat penalties, unit deals +5 damage during combat (including when dealing damage with an area-of-effect Special; excluding Røkkr area-of-effect Specials).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300
Incite Spd/Def,C,"At start of turn, if number of allies adjacent to unit ≤ 2, grants Spd/Def+6 and【Incited】 to unit for 1 turn. If number of allies adjacent to unit ≤ 1, grants Spd/Def+3 to unit during combat.【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).",300
Bracing Stance 3,A,"If foe initiates combat, grants Def/Res+6 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",300
