Name,Might,Range,Description,SP
Tannenbit,8,2,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",200
Tannenbit+,12,2,"When unit deals damage to foe during combat, restores 5 HP to unit. (Triggers even if 0 damage is dealt.)",300
Giga Excalibur,14,2,"Grants Spd+3. If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)",400
Gronnblade,9,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,200
Gronnblade+,13,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,300
Iris's Tome,14,2,Grants bonus to unit’s Atk = total bonuses on unit during combat.,400
Child's Compass,14,2,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit's HP ≥ 25%, grants ""unit cannot be slowed by terrain (does not apply to impassable terrain)"" to unit for 1 turn and unit can move 1 extra space. (That turn only. Does not stack.) At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 during combat, grants bonus to unit's Atk/Spd = number of【Bonus】effects active on unit × 4 (excluding stat bonuses; max 16), and also, if unit deals damage to foe using a Special (excluding area-of-effect Specials), reduces damage from foe's next attack by 50% (once per combat; resets at end of combat; triggers even if 0 damage is dealt).【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400
Ilian Merc Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if number of allies adjacent to unit ≤ 2, grants【Dodge】and ""neutralizes foe's bonuses during combat"" to unit and support partners within 2 spaces of unit for 1 turn. If number of allies adjacent to unit ≤ 1, grants Atk/Spd/Def/Res+5 to unit during combat and deals damage = 15% of foe's Atk, including when dealing damage with a Special triggered before combat.【Dodge】If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%).",400
Giant Shuriken,4,2,"If unit initiates combat, unit attacks twice.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Giant Shuriken+,7,2,"If unit initiates combat, unit attacks twice.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that grant ""Special cooldown charge+X"" to foe or inflict ""Special cooldown charge-X"" on unit during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Cocobow,8,2,"Effective against flying foes.If unit initiates combat, grants Atk/Spd/Def/Res+2 during combat.",200
Cocobow+,12,2,"Effective against flying foes.If unit initiates combat, grants Atk/Spd/Def/Res+2 during combat.",300
Prior's Tome,14,2,"Accelerates Special trigger (cooldown count-1).If unit is within 2 spaces of a trap in Aether Raids, allies on the map can move to a space within 2 spaces of unit (""trap in Aether Raids"" includes any trap—triggered, disarmed, false, or otherwise).Allies within 2 spaces of unit can move to any space within 2 spaces of unit.For allies within 2 spaces of unit, grants Atk/Res+5 and neutralizes penalties to Atk/Res during their combat, and restores 7 HP after combat.If unit is within 3 spaces of an ally, grants bonus to unit's Atk/Res = 20% of unit's Res at start of combat + 6, neutralizes unit's penalties to Atk/Res, deals damage = 20% of unit's Res (excluding area-of-effect Specials), and unit makes a guaranteed follow-up attack during combat, and restores 7 HP to unit after combat.",400
Shellpoint Lance,10,1,"At start of turn, if unit is within 3 spaces of an ally, grants Def+6 to unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Def+5 to unit during combat.",200
Shellpoint Lance+,14,1,"At start of turn, if unit is within 3 spaces of an ally, grants Def+6 to unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Def+5 to unit during combat.",300
Guard Bow,8,2,"Effective against flying foes.If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 to unit during combat.",200
Guard Bow+,12,2,"Effective against flying foes.If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 to unit during combat.",300
Volunteer Bow,14,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 during combat, and also, if foe's Range = 2, inflicts Atk/Spd-5 on foe and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400
Hrímfaxi,16,1,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 and bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. (Example: if unit has +7 bonus to Atk, grants Atk+12, for a net bonus of Atk+19.) Calculates each stat bonus independently.Effect:【Pathfinder】【Pathfinder】When an ally moves through unit's space, that space is counted as 0 spaces moved instead of 1 space. (Unit's space can be freely added to ally's normal movement. Applies only to allies with movement types that allow movement through unit's space.)",400
Grimoire,14,2,"If unit's HP ≥ 50%, unit can move to a space adjacent to an ally within 2 spaces.",400
Purifying Breath,14,1,"Slows Special trigger (cooldown count+1). Unit can counterattack regardless of foe's range. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Arcane Medusa,14,2,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, grants 【Anathema】to unit for 1 turn.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), deals damage = 15% of unit's Atk (including area-of-effect Specials), reduces damage from foe's first attack by 7 (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and grants Special cooldown count-1 to unit before unit's first attack during combat.【Anathema】Inflicts Spd/Def/Res-4 on foes within 3 spaces of unit during combat.",300
Respite,8,2,"Grants Def/Res+2 and ""inflicts Special cooldown charge -1 on foe per attack"" to allies within 2 spaces of unit during combat. (Only highest value applied. Does not stack.)",200
Respite+,12,2,Grants Def/Res+2 and “inflicts Special cooldown charge -1 on foe per attack” to allies within 2 spaces of unit during combat. (Only highest value applied. Does not stack.),300
Ginnungagap,14,2,"Grants Spd+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat, and also, if unit initiates combat or foe initiates combat and uses magic or staff, reduces damage from foe's first attack by 40% and boosts unit's next attack by total damage reduced (by any source, including other skills). Resets at end of combat.",400
Pledged Blade,10,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",200
Pledged Blade+,14,1,"If【Bonus】is active on unit, grants Atk/Def+4 and Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",300
Oboro's Spear,16,1,Effective against armored foes.,400
Blárblade,9,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,200
Blárblade+,13,2,Slows Special trigger (cooldown count+1).Grants bonus to unit’s Atk = total bonuses on unit during combat.,300
Odin's Grimoire,14,2,Grants bonus to unit’s Atk = total bonuses on unit during combat.,400
Doubler Sword,10,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",200
Doubler Sword+,14,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",300
Trident,10,1,"At start of turn, if unit is within 3 spaces of an ally, grants Atk+6 to unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Def+5 to unit during combat.",200
Trident+,14,1,"At start of turn, if unit is within 3 spaces of an ally, grants Atk+6 to unit for 1 turn. If unit is within 3 spaces of an ally, grants Atk/Def+5 to unit during combat.",300
Gladiator's Blade,16,1,"If unit’s Atk > foe’s Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",400
Shine+,13,2,—,300
Tome of Favors,14,2,"If foe does not use beast damage, grants Atk/Res+5 to unit during combat and restores 7 HP to unit after combat.",400
Dancer's Fan,7,2,"If unit initiates combat, restores 7 HP to adjacent allies after combat. After combat, if unit attacked, inflicts Def/Res-5 on foe through its next action.",200
Dancer's Fan+,10,2,"If unit initiates combat, restores 7 HP to adjacent allies after combat. After combat, if unit attacked, inflicts Def/Res-7 on foe through its next action.",300
Skuld,16,1,"If Sing or Dance is used, grants Atk/Spd/Def/Res+3 to target.",400
Sea Tambourine,8,2,"At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit and allies within 2 spaces of unit for 1 turn.At start of combat, if unit's HP ≥ 25% and it is an even-numbered turn, grants Atk/Spd+5 to unit during combat. At start of combat, if unit's HP ≥ 25% and it is an odd-numbered turn, grants Atk/Spd+11 to unit during combat.At start of combat, if unit's HP ≥ 25% and unit's Spd ≥ foe's Spd - 5, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks.",200
Sea Tambourine+,12,2,"At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit and allies within 2 spaces of unit for 1 turn.At start of combat, if unit's HP ≥ 25% and it is an even-numbered turn, grants Atk/Spd+5 to unit during combat. At start of combat, if unit's HP ≥ 25% and it is an odd-numbered turn, grants Atk/Spd+11 to unit during combat.At start of combat, if unit's HP ≥ 25% and unit's Spd ≥ foe's Spd - 5, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks.",300
Dire Thunder,9,2,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",400
Thunderhead,14,2,Grants bonus to unit’s Atk = total bonuses on unit during combat.,400
Missiletainn,16,1,Accelerates Special trigger (cooldown count-1). Grants Special cooldown charge +1 per foe's attack during combat. (Only highest value applied. Does not stack. Special cooldown charge granted even if foe's attack deals 0 damage.),400
Arcane Eclipse,14,2,"Accelerates Special trigger (cooldown count-1). At the start of turn 1, grants Special cooldown count-1. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, and neutralizes penalties to unit's Atk during combat.",300
Tiger Spirit,14,2,"Grants Res+3. At start of combat, if unit's HP ≥ 25%, grants Atk/Res+6 to unit during combat, and also, after combat, if unit attacked, inflicts【Panic】on target and foes within 2 spaces of target.【Panic】Converts bonuses on target into penalties through its next action.",400
Loyal Greatlance,16,1,Accelerates Special trigger (cooldown count-1).,400
Vouge,16,1,"Accelerates Special trigger (cooldown count-1).At start of combat, if unit's HP ≥ 50%, unit can counterattack regardless of foe's range.",400
Campaign Lance,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit during combat, inflicts Atk/Def-X on foe during combat (X = 25% of unit's HP at start of combat; max 10), and restores 10 HP to unit after combat.",200
Campaign Lance+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 to unit during combat, inflicts Atk/Def-X on foe during combat (X = 25% of unit's HP at start of combat; max 10), and restores 10 HP to unit after combat.",300
Piercing Tribute,10,1,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd+5 to unit and neutralizes effects that guarantee foe's follow-up attacks during combat.",200
Piercing Tribute+,14,1,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Spd+5 to unit and neutralizes effects that guarantee foe's follow-up attacks during combat.",300
Pegasus Carrot,8,2,"Effective against armored foes. If unit has weapon-triangle advantage, neutralizes effects that prevent unit's follow-up attacks during combat. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200
Pegasus Carrot+,12,2,"Effective against armored foes. If unit has weapon-triangle advantage, neutralizes effects that prevent unit's follow-up attacks during combat. After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300
Whitewing Blade,16,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",400
Ladyblade,11,1,"Enables【Canto (２)】.Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.) Calculates damage using the lower of foe's Def or Res.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Whitedown Spear,16,1,"Grants Atk+3. If the number of flying units on team ≥ 3 and unit initiates combat, inflicts Atk/Def-4 on foe during combat and unit makes a guaranteed follow-up attack. If the number of flying allies within 2 spaces ≥ 2 and unit initiates combat, unit attacks twice.",400
Berserker Axe,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, for unit and allies within 2 spaces of unit, if Special cooldown count is at its maximum value, grants Special cooldown count-1.If foe initiates combat or foe's HP ≥ 75% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = 25% of foe's Atk at start of combat - 4 (max 14; min 5), unit makes a guaranteed follow-up attack, deals damage = damage dealt to unit (max 30; excluding area-of-effect Specials), and deals damage = 15% of unit's Atk during combat (excluding area-of-effect Specials).",400
Taguel Fang,14,1,"Effective against cavalry foes. If unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, grants Atk/Spd/Def/Res+3 during combat. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Keen Rabbit Fang,14,1,"Accelerates Special trigger (cooldown count-1). Effective against cavalry foes. If unit initiates combat or is not adjacent to an ally, grants Atk/Spd+6 to unit, neutralizes effects that prevent unit's follow-up attacks, reduces damage from foe's first attack by 40%, and also, if unit's Spd > foe's Spd, grants Special cooldown charge +1 to unit per attack during combat. (Only highest value applied. Does not stack.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Miasma Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Miasma Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat, and also, if unit attacked, deals 7 damage to target and foes within 2 spaces of target after combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Rauðrlion,8,2,"At start of turn, grants Atk+6 to adjacent allies for 1 turn. At start of combat, if foe's HP ≥ 75%, grants Atk/Res+5 to unit during combat.",200
Rauðrlion+,12,2,"At start of turn, grants Atk+6 to adjacent allies for 1 turn. At start of combat, if foe's HP ≥ 75%, grants Atk/Res+5 to unit during combat.",300
Vessel of Cheer,8,2,"If unit initiates combat, grants Atk/Spd+4 during combat.",200
Vessel of Cheer+,12,2,"If unit initiates combat, grants Atk/Spd+4 during combat.",300
Tome of Reglay,14,2,"Grants Atk+3. At start of turn, grants Special cooldown count-1 to any magic allies within two spaces of unit (including unit) that has their Special cooldown count at its maximum value. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+6 to unit during combat.",400
Bond of the Álfar,14,2,Grants Spd+3. Grants Atk+6 to any ally in cardinal directions of unit during that ally's combat.,400
Flower of Caring,16,1,"Accelerates Special trigger (cooldown count-1). For allies in cardinal directions of unit, grants Atk/Spd+5 to ally during their combat and restores 5 HP to ally after their combat. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, reduces damage from foe's first attack during combat by 40%, and restores 5 HP to unit after combat, and also, if an ally is in a cardinal direction of unit, grants an additional Atk/Spd/Def/Res+4 to unit during combat.",400
Flower of Joy,14,2,Grants Res+3. Grants Atk/Spd+3 to any ally in a cardinal direction from unit during that ally's combat.,400
Prized Lance,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if foe’s HP = 100%, grants Atk/Spd/Def/Res+4 during combat and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",400
Peri's Lance,16,1,Accelerates Special trigger (cooldown count-1).,400
Blade Royale,9,2,"Grants Spd+3. At start of turn, if unit is within 2 spaces of an ally, grants Atk/Spd+6 and the following status to unit and allies within 2 spaces for 1 turn: ""neutralizes penalties on unit during combat."" If unit initiates combat, unit attacks twice. If unit initiates combat or if unit is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Breaker Bow,14,2,"Accelerates Special trigger (cooldown count-1).Effective against beast and flying foes.Enables【Canto (１)】.Unit can move to a space within 2 spaces of any ally within 2 spaces.At start of combat, if unit's HP ≥ 25%, neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.), grants Atk/Spd/Def/Res+5 to unit, and grants Atk/Spd+X × 6 to unit during combat (X = the number of allies with Atk ≥ 55 within 3 rows or 3 columns centered on unit + the number of allies with Spd ≥ 40 in the same area; max 3), and also, if unit's attack can trigger unit's Special, grants Special cooldown count-A to unit before unit's first attack and grants Special cooldown count-B to unit before unit's first follow-up attack during combat (A = X + 1; max = unit's Special cooldown count value at start of combat; B = X + 1 - unit's Special cooldown count value at start of combat; min 0).【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Hunting Blade,14,2,"Accelerates Special trigger (cooldown count-1). Effective against beast foes. At start of combat, if unit's Atk/Spd/Def/Res < that of an ally within 2 spaces, grants +5 to unit's corresponding stat during combat. Calculates each stat bonus independently.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Flame Lance,16,1,"Effective against beast foes. Grants Spd+3. At start of combat, if unit's HP ≥ 50%, calculates damage using foe's Res, and inflicts Spd/Res-5 on foe during combat.",400
Rein Lance,10,1,Inflicts Spd/Def-5 on foes within 2 spaces during combat.,200
Rein Lance+,14,1,Inflicts Spd/Def-5 on foes within 2 spaces during combat.,300
Flower of Plenty,14,2,Grants Res+3. Grants Atk/Res+3 to allies within 5 rows and 3 columns centered on unit during combat.,400
Arcane Euphoria,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, unit makes a guaranteed follow-up attack, deals damage = 15% of unit's Atk (including when dealing damage with a Special triggered before combat), and reduces damage from foe's first attack by 30% during combat.",300
Springing Spear,16,1,"Enables【Canto (Rem. +1; Min ２)】.Grants Res+3.At start of turn, grants【Canto (１)】 to allies within 2 spaces of unit for 1 turn.For allies within 3 rows or 3 columns centered on unit, grants Atk/Def/Res+5, ally deals +10 damage (excluding area-of-effect Specials), and grants Special cooldown count-1 to ally before ally's first attack during their combat.If there is an ally within 3 rows or 3 columns centered on unit, inflicts penalty on foe's Atk/Def = 20% of unit's Res at start of combat + 6, unit deals +10 damage (excluding area-of-effect Specials), reduces damage from foe's attacks by 10 (excluding area-of-effect Specials), and foe cannot make a follow-up attack during combat.【Canto (Rem. +1; Min ２)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn +1 (min ２; if unit used a movement skill that warped them, unit can move ２ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Once per turn. Only highest value applied. Does not stack.)",400
First-Dream Bow,14,2,Effective against flying foes. Grants Res+3. Grants Atk+4 to allies within 3 spaces during combat. Inflicts Atk-4 on any foe within 3 spaces during combat.,400
Ancient Ragnell,16,1,"Grants Def+3. Unit can counterattack regardless of foe's range. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, inflicts Atk/Def-6 on foe during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400
Short Bow,8,2,Effective against flying foes. Deals +10 damage when Special triggers.,200
Short Bow+,12,2,Effective against flying foes. Deals +10 damage when Special triggers.,300
Snide Bow,14,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat and unit deals +7 damage.",400
Courtly Bow,8,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",200
Courtly Bow+,12,2,"Effective against flying foes. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.",300
Gáe Bolg,16,1,"In combat against an infantry, armored, or cavalry foe, grants Atk/Def+5 during combat.",400
Fell Slaystone,16,1,"Accelerates Special trigger (cooldown count-1). Effective against cavalry foes. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.Grants Atk/Spd/Def/Res+4 to allies within 3 spaces of unit and inflicts Special cooldown charge -1 on their foes per attack during combat (only highest value applied; does not stack).Grants Atk/Spd/Def/Res+4 to engaged allies within 3 spaces of unit during their combat.If foe initiates combat or foe's HP ≥ 75% at start of combat, grants bonus to unit's Atk/Spd/Def/Res = number of allies within 3 spaces of unit × 3, + 5 (max 14; if unit triggers Savior, value is treated as 14), deals damage = 20% of unit's Def (excluding area-of-effect Specials), reduces damage from foe's attacks by 20% of unit's Def (excluding area-of-effect Specials), inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), and grants Special cooldown count-1 to unit before foe's first attack during combat.",400
Groom's Wing,14,1,"Grants Res+3. At start of turn 1, grants Special cooldown count-1 to unit's support partner (if any).At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400
Rauðrwolf,6,2,Effective against cavalry foes.,200
Rauðrwolf+,10,2,Effective against cavalry foes.,300
Hermit's Tome,14,2,"Effective against cavalry foes. If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400
Plegian Bow,8,2,"Effective against flying foes. If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Def during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",200
Plegian Bow+,12,2,"Effective against flying foes. If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Def during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",300
World-Tree Tail,14,1,"Enables【Canto (２)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 9, - 3 × number of allies with HP ≤ 40%; min 0), grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and reduces damage from foe's first attack by 40% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). At start of turn, if unit is adjacent to only beast or dragon allies or is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 to unit, inflicts Atk/Def-Y on foe during combat (Y = number of spaces from start position to end position of whoever initiated combat, + 3; max 6), and also, if Y ≥ 5, reduces damage from foe's first attack by 30% during combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Sacaen-Wolf Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 and reduces damage from foe's first attack by 30% during combat.",400
Gusty War Bow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against beast and flying foes. At start of turn, if unit is within 3 spaces of an ally and unit's Special cooldown count is at its maximum value, grants Special cooldown count-1 to unit. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit and reduces damage from foe's first attack by X% during combat (if in combat against a beast foe, or a cavalry or flying foe with Range = 2, X = 60; otherwise, X = 30), and also, if unit's Special is ready or unit's Special triggered before or during this combat, deals +7 damage during combat (except when dealing damage with area-of-effect Specials).",400
Rebecca's Bow,14,2,Accelerates Special trigger (cooldown count-1). Effective against flying foes.,400
Niðavellir Lots,14,2,"Grants Atk+3. Enables【Canto (２)】during turns 1 through 4. At the start of turn 4, grants Special cooldown count-3 to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat.【Canto (２)】After an attack, Assist skill, or structure destruction, unit can move ２ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
Lyngheiðr,16,1,"Grants Spd+3. Enables【Canto (３)】during turns 1 through 4. If unit initiates combat, grants Atk/Spd+6 during combat and reduces damage from foe's first attack by 30%.【Canto (3)】After an attack, Assist skill, or structure destruction, unit can move ３ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",400
